ID,StreetNum,StrName,Area,Rooms,FullBath,HalfBath,Floors,Zip,SoldPrice,ListPrice,MT,BedRoomsBsmt,BedRooms,GarageSpaces,ClosedDate,GarageType,BsmtBath,AbvGrdSF,BsmntSF,Style,LotDims,LotSize,,,,,,,
143,363,Museum,22,9,4,1,2,60000,599000,599000,6,0,5,4,3/1/2019,Attached,No,0,,Contemporary,330X250X179,82500,,,,,,,
144,364,Sheridan,22,7,3,0,1.5,60000,492000,499000,6,0,4,1,3/2/2019,Attached,No,0,,Other,150 X 91,13650,,,,,,,
145,365,Braeside,22,10,3,1,2,60000,730000,750000,7,1,3,2,3/3/2019,Attached,Yes,0,,Colonial,70X150,10500,,,,,,,
146,366,Broadview,22,7,1,1,1.5,60000,310000,309900,7,0,3,1,3/4/2019,Attached,No,0,,Other,40 X 130 X 40 X 130,5200,,,,,,,
147,367,Sunnyside,22,8,2,0,1.5,60000,295000,315000,8,0,4,1,3/5/2019,Detached,Yes,0,,Other,50X140,7000,,,,,,,
148,368,Pleasant,22,8,2,0,2,60000,455000,465000,9,0,4,2,3/6/2019,Detached,No,1775,800,Colonial,50X150,7500,,,,,,,
149,369,Glencoe,22,12,3,1,1,60000,562500,575000,9,2,4,2,3/7/2019,Attached,Yes,4377,1232,Ranch,63X150,9450,,,,,,,
150,370,Acorn,22,11,4,1,2,60000,635000,635000,10,0,5,3,3/8/2019,Attached,No,0,,Other,17450,17450,,,,,,,
151,371,Bob-O-Link,22,10,5,1,1,60000,850000,849999,14,0,6,2,3/9/2019,Attached,Yes,0,,Other,85X175,14875,,,,,,,
152,372,Cavell,22,12,3,2,3,60000,665000,675000,15,1,4,2,3/10/2019,Attached,Yes,2932,,Other,50 X 146,7300,,,,,,,
153,373,Washington,22,11,3,1,2,60000,625000,625000,15,1,4,2,3/11/2019,Attached,Yes,0,,Colonial,40X130,5200,,,,,,,
154,374,Mc Daniels,22,8,3,1,2,60000,900000,925000,18,0,3,2,3/12/2019,Attached,No,2300,,Cape Cod,94 X 79,7426,,,,,,,
155,375,Saint Johns,22,10,2,0,2,60000,434000,469000,19,1,3,2,3/13/2019,Detached,Yes,1636,,Bungalow,50X120,6000,,,,,,,
156,376,Driscoll,22,5,1,0,1,60000,210000,229900,20,0,3,2.5,3/14/2019,Detached,No,0,,Ranch,50X128,6400,,,,,,,
157,377,Pine Point,22,8,4,0,1,60000,550000,544900,22,0,4,2,3/15/2019,Attached,No,0,,Ranch,125 X 145,18125,,,,,,,
158,378,Sheridan,22,8,3,0,2,60000,572355,660000,23,0,5,2,3/16/2019,Detached,No,0,,Other,10890,10890,,,,,,,
159,379,Taylor,22,9,3,0,2,60000,467818,499818,23,0,4,2,3/17/2019,Detached,No,0,,Other,50 X 140,7000,,,,,,,
160,380,Northland,22,7,2,1,1.5,60000,260000,278300,24,0,3,1,3/18/2019,Detached,No,0,,Other,60X158X67X163,9480,,,,,,,
161,381,Great Elm,22,12,4,1,3,60000,1475000,1699000,24,0,4,3,3/19/2019,Attached,No,0,2342,Traditional,212X494X194X400,104728,,,,,,,
