MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,,
09883212,CLSD,5/1/2018,293000,1 Story,1955,4743,Church,76,60076,0,6,2,0,No,3,0,Detached,2.5,0,,
09672325,CLSD,8/11/2017,298000,Raised Ranch,1962,5437,Arcadia,76,60077,0,7,1,1,No,3,0,Detached,2,0,,
09478709,CLSD,4/24/2017,300000,1.5 Story,1956,8344,Kedvale,76,60076,0,7,2,0,Yes,3,0,Detached,2,0,,
09524632,CLSD,5/15/2017,300000,1 Story,1954,5341,Davis,76,60077,0,8,2,0,Yes,3,1,Detached,2.5,0,,
09596538,CLSD,5/31/2017,300000,1 Story,UNK,9800,Karlov,76,60076,0,6,2,1,Yes,3,0,Detached,2,0,,
10042242,CLSD,1/14/2019,300000,1 Story,1953,8150,Keystone,76,60076,0,7,2,0,Yes,3,0,Detached,2,0,,
09694799,CLSD,8/31/2017,305000,1.5 Story,1940,7650,Karlov,76,60076,0,7,2,0,No,4,0,Detached,2,0,,
09878913,CLSD,4/17/2018,305000,1 Story,1958,7818,Keeler,76,60076,0,7,2,0,Yes,3,1,Detached,2,0,,
09699270,CLSD,9/26/2017,307000,1 Story,1956,8438,Lawndale,76,60076,0,8,1,1,No,3,1,Detached,2,0,,
09789667,CLSD,1/26/2018,307500,2 Stories,1950,8545,Harding,76,60076,0,9,2,1,No,4,0,Detached,1,0,,
10078200,CLSD,10/26/2018,310000,Split Level w/ Sub,UNK,7844,Kostner,76,60076,0,7,2,0,No,3,0,Detached,2.5,0,,
09858568,CLSD,4/13/2018,313000,2 Stories,1949,5349,Crain,76,60077,0,6,2,0,Yes,2,0,Detached,1,0,,
09928986,CLSD,6/19/2018,315000,2 Stories,1954,8338,KARLOV,76,60076,0,8,1,1,No,4,0,Detached,2.5,0,,
10082856,CLSD,11/2/2018,315000,1 Story,1955,8941,Laramie,76,60077,0,6,2,0,Yes,2,1,Detached,2,0,,
09788920,CLSD,1/12/2018,317000,2 Stories,UNK,8118,Kolmar,76,60076,0,7,1,1,No,3,0,Detached,2.5,0,,
09762176,CLSD,12/30/2017,319000,Split Level w/ Sub,1956,8525,Saint Louis,76,60076,0,6,2,0,No,3,0,Detached,2,0,,
10085183,CLSD,10/26/2018,319000,2 Stories,1941,7939,Kenton,76,60076,0,8,1,1,No,3,0,Detached,2,0,,
09508080,CLSD,5/5/2017,320000,1 Story,1952,5109,DOBSON,76,60077,0,7,2,0,Yes,2,1,Detached,2,0,,
09792936,CLSD,7/2/2018,321445,2 Stories,1960,10048,Bronx,76,60077,0,7,2,0,No,3,0,Detached,2,0,,
09883905,CLSD,4/20/2018,327500,1 Story,1955,7941,Kostner,76,60076,0,8,2,0,Yes,2,1,Detached,2,0,,
09716730,CLSD,2/28/2018,330000,Split Level w/ Sub,1961,8452,Lockwood,76,60077,0,7,2,0,Yes,3,0,Detached,2,0,,
09897780,CLSD,9/25/2018,330000,Split Level w/ Sub,1951,5457,Greenwood,76,60077,0,10,2,1,Yes,3,2,Detached,2,0,,
09947695,CLSD,6/26/2018,333000,Split Level,1954,8341,Kolmar,76,60076,0,8,2,0,No,3,0,Detached,2,0,,
09495917,CLSD,3/21/2017,335000,2 Stories,1956,8635,Kedvale,76,60076,0,8,2,0,Yes,3,0,Detached,2.1,0,,
09592683,CLSD,7/27/2017,335000,1 Story,1956,8710,Monticello,76,60076,0,7,2,0,Yes,3,0,Detached,1.5,0,,
09914140,CLSD,5/18/2018,335047,1 Story,1953,5152,HOWARD,76,60077,0,8,2,0,Yes,2,2,Detached,1.5,0,,
09410510,CLSD,5/5/2017,339000,1 Story,1954,8611,Saint Louis,76,60076,0,8,2,0,No,3,0,Detached,2,0,,
09902089,CLSD,6/11/2018,342247,1 Story,1956,8443,Springfield,76,60076,0,8,2,0,Yes,3,1,Detached,2,0,,
09855333,CLSD,5/3/2018,345000,2 Stories,1952,8320,Kildare,76,60076,0,8,2,0,No,4,0,Detached,2,0,,
